isolate_id	taxnode_id	species_sort	isolate_sort	species_name	isolate_type	isolate_names	isolate_abbrevs	isolate_designation	genbank_accessions	refseq_accessions	genome_coverage	molecule	host_source	refseq_organism	refseq_taxids	update_change	update_prev_species	update_prev_taxnode_id	update_change_proposal	_isolate_name	notes
1003443	202404720	14959	1	Potyvirus pepotigris	E	zucchini tigre mosaic virus	ZTMV	Re01-25	KC345607	NC_023175	Complete genome	ssRNA(+)	plants	NULL	1406816	same	Potyvirus pepotigris	202304720	NULL	zucchini tigre mosaic virus	NULL
1003444	202404721	14957	1	Potyvirus pepo	E	zucchini yellow fleck virus	ZYFV	It	DQ641510	NC_043173	Partial genome	ssRNA(+)	plants	NULL	390849	same	Potyvirus pepo	202304721	NULL	zucchini yellow fleck virus	NULL
1003445	202404722	14874	1	Potyvirus cucurbitaflavitesselati	E	zucchini yellow mosaic virus	ZYMV	TN3	AF127929	NC_003224	Complete genome	ssRNA(+)	plants	NULL	12232	same	Potyvirus cucurbitaflavitesselati	202304722	NULL	zucchini yellow mosaic virus	NULL
1003446	202407450	15022	1	Roymovirus passifloralatentis	E	Passiflora edulis symptomless virus	PeSV	Rehovot	MH379332	NC_055497	Complete genome	ssRNA(+)	plants	NULL	2294149	same	Roymovirus passifloralatentis	202307450	NULL	Passiflora edulis symptomless virus	NULL
1003447	202404735	15023	1	Roymovirus rosae	E	rose yellow mosaic virus	RYMV	Minnesota	JF280796	NC_019031	Coding-complete genome	ssRNA(+)	plants	NULL	1048434	same	Roymovirus rosae	202304735	NULL	rose yellow mosaic virus	NULL
1003448	202404724	15024	1	Rymovirus agropyronis	E	Agropyron mosaic virus	AgMV	ND402	AY623626	NC_005903	Complete genome	ssRNA(+)	plants	NULL	41763	same	Rymovirus agropyronis	202304724	NULL	Agropyron mosaic virus	NULL
1003449	202404725	15025	1	Rymovirus hordei	E	Hordeum mosaic virus	HoMV	ATCC PV81	AY623627	NC_005904	Complete genome	ssRNA(+)	plants	NULL	41764	same	Rymovirus hordei	202304725	NULL	Hordeum mosaic virus	NULL
1003450	202404726	15026	1	Rymovirus lolii	E	ryegrass mosaic virus	RGMV	Danish	Y09854	NC_001814	Complete genome	ssRNA(+)	plants	NULL	40666	same	Rymovirus lolii	202304726	NULL	ryegrass mosaic virus	NULL
1003451	202404728	15029	1	Tritimovirus bromi	E	brome streak mosaic virus	BrSMV	FR	Z48506	NC_003501	Coding-complete genome	ssRNA(+)	plants	NULL	42631	same	Tritimovirus bromi	202304728	NULL	brome streak mosaic virus	NULL
1003452	202404729	15028	1	Tritimovirus avenae	E	oat necrotic mottle virus	ONMV	Type-NE	AY377938	NC_005136	Complete genome	ssRNA(+)	plants	NULL	112437	same	Tritimovirus avenae	202304729	NULL	oat necrotic mottle virus	NULL
1003453	202404730	15027	1	Tritimovirus arrhenatheri	E	tall oatgrass mosaic virus	TOgMV	Benesov	KF260962	NC_022745	Complete genome	ssRNA(+)	plants	NULL	1414644	same	Tritimovirus arrhenatheri	202304730	NULL	tall oatgrass mosaic virus	NULL
1003454	202404731	15030	1	Tritimovirus eqlidense	E	wheat Eqlid mosaic virus	WEqMV	IR	EF608612	NC_009805	Complete genome	ssRNA(+)	plants	NULL	460364	same	Tritimovirus eqlidense	202304731	NULL	wheat Eqlid mosaic virus	NULL
1003455	202404732	15032	1	Tritimovirus tritici	E	wheat streak mosaic virus	WSMV	Sidney 81	AF057533	NC_001886	Complete genome	ssRNA(+)	plants	NULL	31741	same	Tritimovirus tritici	202304732	NULL	wheat streak mosaic virus	NULL
1003456	202404733	15031	1	Tritimovirus triseti	E	yellow oat-grass mosaic virus	YOgMV	Sb	KF984546	NC_024471	Complete genome	ssRNA(+)	plants	NULL	2170240	same	Tritimovirus triseti	202304733	NULL	yellow oat-grass mosaic virus	NULL
1003457	202402622	15035	1	Avastrovirus meleagridis	E	avastrovirus 1	AAstV1	NULL	Y15936	NC_002470	Complete genome	ssRNA(+)	vertebrates	NULL	70793	same	Avastrovirus meleagridis	202302622	NULL	avastrovirus 1	NULL
1003458	202402623	15033	1	Avastrovirus galli	E	avastrovirus 2	AAstV2	G-4260	AB033998	NC_003790	Complete genome	ssRNA(+)	vertebrates	NULL	336959	same	Avastrovirus galli	202302623	NULL	avastrovirus 2	NULL
1003459	202402624	15034	1	Avastrovirus intestini	E	avastrovirus 3	AAstV3	NULL	AF206663	NC_005790	Complete genome	ssRNA(+)	vertebrates	NULL	246343	same	Avastrovirus intestini	202302624	NULL	avastrovirus 3	NULL
1003460	202402626	15041	1	Mamastrovirus hominis	E	mamastrovirus 1	MAstV1	NULL	Z25771	NC_001943	Complete genome	ssRNA(+)	vertebrates	NULL	1868658	same	Mamastrovirus hominis	202302626	NULL	mamastrovirus 1	NULL
1003461	202402635	15045	1	Mamastrovirus mustelae	E	mamastrovirus 10	MAstV10	NULL	AY179509	NC_004579	Complete genome	ssRNA(+)	vertebrates	NULL	1239574	same	Mamastrovirus mustelae	202302635	NULL	mamastrovirus 10	NULL
1003462	202402636	15036	1	Mamastrovirus californiani	E	mamastrovirus 11	MAstV11	CSL1	FJ890351	NC_043097	Partial genome	ssRNA(+)	vertebrates	NULL	1239575	same	Mamastrovirus californiani	202302636	NULL	mamastrovirus 11	NULL
1003463	202402637	15052	1	Mamastrovirus vespertilionis	E	mamastrovirus 12	MAstV12	LD71	FJ571067	NC_043098	Partial genome	ssRNA(+)	vertebrates	NULL	627584	same	Mamastrovirus vespertilionis	202302637	NULL	mamastrovirus 12	NULL
1003464	202402638	15046	1	Mamastrovirus ovis	E	mamastrovirus 13	MAstV13	NULL	Y15937	NC_002469	Complete genome	ssRNA(+)	vertebrates	NULL	1239577	same	Mamastrovirus ovis	202302638	NULL	mamastrovirus 13	NULL
1003465	202402639	15044	1	Mamastrovirus miniopteri	E	mamastrovirus 14	MAstV14	AFCD57	EU847144	NC_043099	Partial genome	ssRNA(+)	vertebrates	NULL	1239578	same	Mamastrovirus miniopteri	202302639	NULL	mamastrovirus 14	NULL
1003466	202402640	15050	1	Mamastrovirus taphozoi	E	mamastrovirus 15	MAstV15	LD77	FJ571066	NC_043100	Partial genome	ssRNA(+)	vertebrates	NULL	627585	same	Mamastrovirus taphozoi	202302640	NULL	mamastrovirus 15	NULL
1003467	202402641	15047	1	Mamastrovirus pipistrelli	E	mamastrovirus 16	MAstV16	AFCD11	EU847145	NC_043101	Partial genome	ssRNA(+)	vertebrates	NULL	1239580	same	Mamastrovirus pipistrelli	202302641	NULL	mamastrovirus 16	NULL
1003468	202402642	15040	1	Mamastrovirus hipposideri	E	mamastrovirus 17	MAstV17	LC03	FJ571074	NC_038368	Partial genome	ssRNA(+)	vertebrates	NULL	627538	same	Mamastrovirus hipposideri	202302642	NULL	mamastrovirus 17	NULL
1003469	202402643	15048	1	Mamastrovirus pusilli	E	mamastrovirus 18	MAstV18	AFCD337	EU847155	NC_043102	Partial genome	ssRNA(+)	vertebrates	NULL	1239582	same	Mamastrovirus pusilli	202302643	NULL	mamastrovirus 18	NULL
1003470	202402644	15039	1	Mamastrovirus guangxiense	E	mamastrovirus 19	MAstV19	LD38	FJ571065	NC_043103	Partial genome	ssRNA(+)	vertebrates	NULL	627576	same	Mamastrovirus guangxiense	202302644	NULL	mamastrovirus 19	NULL
1003471	202402627	15038	1	Mamastrovirus felis	E	mamastrovirus 2	MAstV2	D1	KM017741	NC_024701	Complete genome	ssRNA(+)	vertebrates	NULL	1538452	same	Mamastrovirus felis	202302627	NULL	mamastrovirus 2	NULL
1003472	202402628	15049	1	Mamastrovirus suis	E	mamastrovirus 3	MAstV3	GX1	KF787112	NC_025379	Complete genome	ssRNA(+)	vertebrates	NULL	1239567	same	Mamastrovirus suis	202302628	NULL	mamastrovirus 3	NULL
1003473	202402629	15054	1	Mamastrovirus zalophi	E	mamastrovirus 4	MAstV4	CSL2	FJ890352	NC_034975	Partial genome	ssRNA(+)	vertebrates	NULL	645427	same	Mamastrovirus zalophi	202302629	NULL	mamastrovirus 4	NULL
1003474	202402630	15037	1	Mamastrovirus canis	E	mamastrovirus 5	MAstV5	43588	FM213330	NC_043416	Partial genome	ssRNA(+)	vertebrates	NULL	566308	same	Mamastrovirus canis	202302630	NULL	mamastrovirus 5	NULL
1003475	202402631	15043	1	Mamastrovirus melbournense	E	mamastrovirus 6	MAstV6	MLB1	FJ222451	NC_011400	Complete genome	ssRNA(+)	vertebrates	NULL	568715	same	Mamastrovirus melbournense	202302631	NULL	mamastrovirus 6	NULL
1003476	202402632	15051	1	Mamastrovirus tursiopis	E	mamastrovirus 7	MAstV7	Bd1	FJ890355	NC_043096	Partial genome	ssRNA(+)	vertebrates	NULL	645425	same	Mamastrovirus tursiopis	202302632	NULL	mamastrovirus 7	NULL
1003477	202402633	15042	1	Mamastrovirus homustovis	E	mamastrovirus 8	MAstV8	NI-295	GQ415660	NC_013443	Complete genome	ssRNA(+)	vertebrates	NULL	682382	same	Mamastrovirus homustovis	202302633	NULL	mamastrovirus 8	NULL
1003478	202402634	15053	1	Mamastrovirus virginiaense	E	mamastrovirus 9	MAstV9	VA1	FJ973620	NC_013060	Complete genome	ssRNA(+)	vertebrates	NULL	645687	same	Mamastrovirus virginiaense	202302634	NULL	mamastrovirus 9	NULL
1003479	202412473	15055	1	Alphayadokarivirus gobani	E	Plasmopara viticola lesion associated yadokari virus 1	PvYV1	DMG-B-DN53434	MN551121	NC_076822	Coding-complete genome	ssRNA(+)	protists	NULL	NULL	same	Alphayadokarivirus gobani	202312473	NULL	Plasmopara viticola lesion associated yadokari virus 1	NULL
1003480	202412469	15056	1	Alphayadokarivirus ichibani	E	yado-kari virus 1	YkV1	W1032	LC006253	NC_040360	Complete genome	ssRNA(+)	fungi	NULL	1148496	same	Alphayadokarivirus ichibani	202312469	NULL	yado-kari virus 1	NULL
1003481	202412470	15057	1	Alphayadokarivirus nibani	E	Aspergillus foetidus slow virus 2	AfVS2	IMI 41871	HE588148	NC_076552	Complete genome	ssRNA(+)	fungi	NULL	NULL	same	Alphayadokarivirus nibani	202312470	NULL	Aspergillus foetidus slow virus 2	NULL
1003482	202412474	15058	1	Alphayadokarivirus rokubani	E	Picoa juniperi yado-kari virus 1	PjYV1	CBS101889	MT876192	NC_076907	Coding-complete genome	ssRNA(+)	fungi	NULL	NULL	same	Alphayadokarivirus rokubani	202312474	NULL	Picoa juniperi yado-kari virus 1	NULL
1003483	202412471	15059	1	Alphayadokarivirus sanbani	E	Penicillium aurantiogriseum foetidus-like virus	PaFlV1	MUT4330	KT601100	NC_028468	Complete genome	ssRNA(+)	fungi	NULL	1755753	same	Alphayadokarivirus sanbani	202312471	NULL	Penicillium aurantiogriseum foetidus-like virus	NULL
1003484	202412472	15060	1	Alphayadokarivirus yonbani	E	Penicillium digitatum yadokarivirus 1	PdYV1	HS-F6	MK279488	NC_076663	Coding-complete genome	ssRNA(+)	fungi	NULL	NULL	same	Alphayadokarivirus yonbani	202312472	NULL	Penicillium digitatum yadokarivirus 1	NULL
1003485	202412476	15061	1	Betayadokarivirus ichibani	E	Fusarium poae mycovirus 2	FpMyV2	MAFF 240374	LC150617	NC_030870	Coding-complete genome	ssRNA(+)	fungi	NULL	1849543	same	Betayadokarivirus ichibani	202312476	NULL	Fusarium poae mycovirus 2	NULL
1003486	202412477	15062	1	Betayadokarivirus nibani	E	yado-kari virus 2	YkV2	Rn454	LC333755	NC_076601	Complete genome	ssRNA(+)	fungi	NULL	NULL	same	Betayadokarivirus nibani	202312477	NULL	yado-kari virus 2	NULL
