subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	32	Move	species	Waikavirus trifolii	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Waikavirus trifolii' to species named 'Waikavirus trifolii' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Waikavirus trifolii	NA	49
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	33	Move	species	Waikavirus zeae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE species named 'Waikavirus zeae' to species named 'Waikavirus zeae' PROPOSED//CUR=[identical]Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Waikavirus zeae	NA	50
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	34	Create new	species	Waikavirus ajugae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Ritunrivirus;Waikavirus ajugae'	NA	17
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	35	Create new	species	Waikavirus anacycli	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Ritunrivirus;Waikavirus anacycli'	NA	18
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	36	Create new	species	Waikavirus eleocharis	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Ritunrivirus;Waikavirus eleocharis'	NA	19
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	37	Create new	species	Waikavirus ligustici	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Ritunrivirus;Waikavirus ligustici'	NA	20
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	38	Create new	species	Waikavirus mertensiae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Ritunrivirus;Waikavirus mertensiae'	NA	21
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	39	Create new	species	Waikavirus pedicularis	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Ritunrivirus;Waikavirus pedicularis'	NA	22
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	40	Create new	species	Waikavirus primulae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Ritunrivirus;Waikavirus primulae'	NA	23
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	41	Create new	species	Waikavirus ranunculi	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Ritunrivirus;Waikavirus ranunculi'	NA	24
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	42	Create new	species	Waikavirus thapsiae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Ritunrivirus;Waikavirus thapsiae'	NA	25
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	43	Create new	species	Waikavirus thymi	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Ritunrivirus;Waikavirus thymi'	NA	26
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	44	Create new	species	Waikavirus violae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Waikavirus;Ritunrivirus;Waikavirus violae'	NA	27
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	45	Create new	species	Fabavirus betavitis	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Comovirinae;Fabavirus;Fabavirus betavitis'	NA	28
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	46	Create new	species	Fabavirus cirsii	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Comovirinae;Fabavirus;Fabavirus cirsii'	NA	29
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	47	Create new	species	Nepovirus betaparis	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Comovirinae;Nepovirus;Nepovirus betaparis'	NA	30
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	48	Create new	species	Nepovirus mirae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Comovirinae;Nepovirus;Nepovirus mirae'	NA	31
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	49	Create new	species	Sadwavirus cattleyae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Sadwavirus;Cholivirus;Sadwavirus cattleyae'	NA	32
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	50	Create new	species	Sadwavirus gymnemae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Sadwavirus;Cholivirus;Sadwavirus gymnemae'	NA	33
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	51	Create new	species	Sadwavirus chysanthemi	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Sadwavirus;Stramovirus;Sadwavirus chysanthemi'	NA	34
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	52	Create new	species	Torradovirus arctii	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Torradovirus;Torradovirus arctii'	NA	35
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	53	Create new	species	Torradovirus nanorugosum	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Torradovirus;Torradovirus nanorugosum'	NA	36
Plant virus (P) proposals	2024.013P	MISSING	2024.013P.Uc.v2.Secoviridae_1ng_2nsg_34nsp.xlsx	54	Create new	species	Torradovirus physalis	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae;Torradovirus;Torradovirus physalis'	NA	37
