subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	9	Move	family	Leishbuviridae	INFO	SRC.LINEAGE_CHANGED	CURRENT lineage changed by another proposal	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales PROPOSAL//NEW_MSL=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;[Bunya//Ellio]virales;Leishbuviridae	NA	7
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	9	Move	family	Leishbuviridae	INFO	MOVE.PROPOSED_PARENT_LINEAGE_CHANGED	PROPOSED parent lineage already modified	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26 did a rename class Ellioviricetes to Bunyaviricetes; OBSERVED//PROPOSED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Bunya//Ellio]viricetes;Goldbavirales	NA	7
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	9	Move	family	Leishbuviridae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE family named 'Leishbuviridae' to family named 'Leishbuviridae' PROPOSED//CUR=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Bunya//Ellio]viricetes;[Ellio//Bunya]virales;Leishbuviridae	NA	7
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	10	Move	family	Mypoviridae	INFO	SRC.LINEAGE_CHANGED	CURRENT lineage changed by another proposal	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales PROPOSAL//NEW_MSL=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;[Bunya//Ellio]virales;Mypoviridae	NA	8
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	10	Move	family	Mypoviridae	INFO	MOVE.PROPOSED_PARENT_LINEAGE_CHANGED	PROPOSED parent lineage already modified	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26 did a rename class Ellioviricetes to Bunyaviricetes; OBSERVED//PROPOSED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Bunya//Ellio]viricetes;Goldbavirales	NA	8
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	10	Move	family	Mypoviridae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE family named 'Mypoviridae' to family named 'Mypoviridae' PROPOSED//CUR=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Bunya//Ellio]viricetes;[Ellio//Bunya]virales;Mypoviridae	NA	8
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	11	Move	family	Nairoviridae	INFO	SRC.LINEAGE_CHANGED	CURRENT lineage changed by another proposal	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales PROPOSAL//NEW_MSL=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;[Bunya//Ellio]virales;Nairoviridae	NA	9
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	11	Move	family	Nairoviridae	INFO	MOVE.PROPOSED_PARENT_LINEAGE_CHANGED	PROPOSED parent lineage already modified	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26 did a rename class Ellioviricetes to Bunyaviricetes; OBSERVED//PROPOSED=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Bunya//Ellio]viricetes;Goldbavirales	NA	9
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	11	Move	family	Nairoviridae	SUCCESS	MOVE.OK	Change=MOVE, applied successfully	MOVE family named 'Nairoviridae' to family named 'Nairoviridae' PROPOSED//CUR=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Bunya//Ellio]viricetes;[Ellio//Bunya]virales;Nairoviridae	NA	9
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	12	Move	family	Phenuiviridae	INFO	SRC.LINEAGE_CHANGED	CURRENT lineage changed by another proposal	proposal(s)=2023.024M.N.v1.Bunyaviricetes.zip:26;2023.024M.N.v1.Bunyaviricetes.zip:14 did a rename class Ellioviricetes to Bunyaviricetes;rename order Bunyavirales to Elliovirales PROPOSAL//NEW_MSL=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;[Ellio//Bunya]viricetes;[Bunya//Ellio]virales;Phenuiviridae	NA	10
