subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	32	Rename	species	Coleus blumei viroid 2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Coleus blumei viroid 2' to 'Coleviroid CbVd2' in 'Pospiviroidae;Coleviroid'	NA	29
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	33	Rename	species	Coleus blumei viroid 3	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Coleus blumei viroid 3' to 'Coleviroid CbVd3' in 'Pospiviroidae;Coleviroid'	NA	30
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	34	Rename	species	Coleviroid cbvd-5	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Coleviroid cbvd-5' to 'Coleviroid CbVd-5' in 'Pospiviroidae;Coleviroid'	NA	31
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	35	Rename	species	Coleviroid cbvd-6	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Coleviroid cbvd-6' to 'Coleviroid CbVd-6' in 'Pospiviroidae;Coleviroid'	NA	32
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	36	Rename	species	Dahlia latent viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Dahlia latent viroid' to 'Hostuviroid DLVd' in 'Pospiviroidae;Hostuviroid'	NA	33
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	37	Rename	species	Hop stunt viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Hop stunt viroid' to 'Hostuviroid HSVd' in 'Pospiviroidae;Hostuviroid'	NA	34
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	38	Rename	species	Chrysanthemum stunt viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Chrysanthemum stunt viroid' to 'Pospiviroid CSVd' in 'Pospiviroidae;Pospiviroid'	NA	35
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	39	Rename	species	Citrus exocortis viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Citrus exocortis viroid' to 'Pospiviroid CEVd' in 'Pospiviroidae;Pospiviroid'	NA	36
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	40	Rename	species	Columnea latent viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Columnea latent viroid' to 'Pospiviroid CLVd' in 'Pospiviroidae;Pospiviroid'	NA	37
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	41	Rename	species	Iresine viroid 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Iresine viroid 1' to 'Pospiviroid IrVd1' in 'Pospiviroidae;Pospiviroid'	NA	38
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	42	Rename	species	Pepper chat fruit viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Pepper chat fruit viroid' to 'Pospiviroid PCFVd' in 'Pospiviroidae;Pospiviroid'	NA	39
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	43	Rename	species	Pospiviroid plvd	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Pospiviroid plvd' to 'Pospiviroid PLVd' in 'Pospiviroidae;Pospiviroid'	NA	40
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	44	Rename	species	Potato spindle tuber viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Potato spindle tuber viroid' to 'Pospiviroid PSTVd' in 'Pospiviroidae;Pospiviroid'	NA	41
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	45	Rename	species	Tomato apical stunt viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Tomato apical stunt viroid' to 'Pospiviroid TASVd' in 'Pospiviroidae;Pospiviroid'	NA	42
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	46	Rename	species	Tomato chlorotic dwarf viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Tomato chlorotic dwarf viroid' to 'Pospiviroid TCDVd' in 'Pospiviroidae;Pospiviroid'	NA	43
Plant virus (P) proposals	2022.002P	MISSING	2022.002P.Ud.v1.Avsunviroidae_Pospiviroidae_rename.xlsx	47	Rename	species	Tomato planta macho viroid	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Tomato planta macho viroid' to 'Pospiviroid TPMVd' in 'Pospiviroidae;Pospiviroid'	NA	44
