subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	order	xlsxpath	path	basename	docpath	file
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	41	Create new	species	Strophivirus 33	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Strophivirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Strophivirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:40	NA	55	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	41	Create new	species	Strophivirus 33	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Strophivirus;Strophivirus 33'	NA	55	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	42	Create new	species	Strophivirus 31	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Strophivirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Strophivirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:40	NA	56	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	42	Create new	species	Strophivirus 31	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Strophivirus;Strophivirus 31'	NA	56	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	43	Create new	species	Strophivirus 32	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Strophivirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Strophivirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:40	NA	57	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	43	Create new	species	Strophivirus 32	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Strophivirus;Strophivirus 32'	NA	57	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	44	Create new	species	Strophivirus 36	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Strophivirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Strophivirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:40	NA	58	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	44	Create new	species	Strophivirus 36	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Strophivirus;Strophivirus 36'	NA	58	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	45	Create new	species	Strophivirus 37	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Strophivirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Strophivirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:40	NA	59	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	45	Create new	species	Strophivirus 37	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Strophivirus;Strophivirus 37'	NA	59	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	46	Create new	species	Strophivirus 34	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[Strophivirus//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae];[//Strophivirus], otherProposals=2024.035B.Uc.v3.Tubulavirales_34ng_49ns.zip:40	NA	60	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	46	Create new	species	Strophivirus 34	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Strophivirus;Strophivirus 34'	NA	60	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	47	Create new	genus	Meandervirus	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	PROPOSED//OBSERVED=[Inoviridae//Monodnaviria];[//Loebvirae];[//Hofneiviricota];[//Faserviricetes];[//Tubulavirales];[//Inoviridae], otherProposals=NA	NA	17	NA	NA	NA	NA	NA
Bacterial viruses (B) proposals	2024.035B	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.docx	2024.035B.Uc.v3.Tubulavirales_34ng_49ns.xlsx	47	Create new	genus	Meandervirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Meandervirus'	NA	17	NA	NA	NA	NA	NA
