subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	21	Create new	genus	Bocivirus	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Elliovirales//Phenuiviridae];[Phenuiviridae//], proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Phenuiviridae, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Phenuiviridae, otherProposals=NA	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	21	Create new	genus	Bocivirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Phenuiviridae'	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	22	Create new	species	Bocivirus botrytidis	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Phenuiviridae;[Bocivirus//], proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Phenuiviridae;Bocivirus, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Phenuiviridae, otherProposals=2023.024M:21	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	22	Create new	species	Bocivirus botrytidis	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Phenuiviridae;Bocivirus'	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	23	Create new	species	Bocivirus fusarii	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Phenuiviridae;[Bocivirus//], proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Phenuiviridae;Bocivirus, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Phenuiviridae, otherProposals=2023.024M:21	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	23	Create new	species	Bocivirus fusarii	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Phenuiviridae;Bocivirus'	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	24	Create new	species	Bocivirus trichodermae	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Phenuiviridae;[Bocivirus//], proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Phenuiviridae;Bocivirus, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Phenuiviridae, otherProposals=2023.024M:21	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	24	Create new	species	Bocivirus trichodermae	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Phenuiviridae;Bocivirus'	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	25	Move; rename	species	Coguvirus viticulum	INFO	XLSX.NON_ALPHA-NUMERIC	XLSX has non-(AlphaNumeric or hyphen) characters removed	srcGenus : Coguvirus[ ]viticulum 	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	25	Move; rename	species	Coguvirus viticulum	ERROR	MOVE.DIFF_RANK	Change=MOVE, but 'current taxonomy' and 'proposed taxonomy' ranks differ; use promote or demote, not move, to change rank	srcVsDest=[genus//species] Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;[Bunyavirales//Elliovirales];Phenuiviridae;[Coguvirusviticulum//Bocivirus];[//Bocivirus viticulum], srcTaxonomy=[genus]Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Phenuiviridae;Coguvirusviticulum, destTaxonomy=[species]Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Elliovirales;Phenuiviridae;Bocivirus;Bocivirus viticulum	NA
Animal dsRNA and -ssRNA (M) proposals	2023.024M	MISSING	2023.024M.N.v1.Bunyaviricetes.xlsx	26	Rename	class	Ellioviricetes	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME class from 'Ellioviricetes' to 'Bunyaviricetes' in 'Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Bunyaviricetes'	NA
