filename	sort	proposal_abbrev	proposal	spreadsheet	srcRealm	srcSubrealm	srcKingdom	srcSubkingdom	srcPhylum	srcSubphylum	srcClass	srcSubclass	srcOrder	srcSuborder	srcFamily	srcSubfamily	srcGenus	srcSubgenus	srcSpecies	srcexemplarAccessions	realm	subrealm	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	genus	subgenus	species	exemplarAccessions	exemplarName	Abbrev	exemplarIsolate	isComplete	molecule	hostSource	change	rank
load_next_msl.msl36v1.txt	648	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Sentinelvirus		Sentinelvirus sentinel	MT701597.1	Streptomyces phage Sentinel			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	649	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Sentinelvirus		Sentinelvirus spernnie	MT701594.1	Streptomyces phage Spernnie			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	650	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Janusvirus									bacteria	Create new	genus
load_next_msl.msl36v1.txt	651	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Janusvirus		Janusvirus janus	MK392366.1	Streptomyces phage Janus			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	652	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Janusvirus		Janusvirus hank144	MH669004.1	Streptomyces phage Hank144			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	653	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Omarvirus									bacteria	Create new	genus
load_next_msl.msl36v1.txt	654	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Omarvirus		Omarvirus omar	MG593802.1	Streptomyces phage Omar			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	655	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Omarvirus		Omarvirus diane	MF766046.1	Streptomyces phage Diane			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	656	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Omarvirus		Omarvirus amethyst	MF766044.1	Streptomyces phage Amethyst			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	657	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Omarvirus		Omarvirus tefunt	MF766048.1	Streptomyces phage Tefunt			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	658	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Caelumvirus									bacteria	Create new	genus
load_next_msl.msl36v1.txt	659	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Caelumvirus		Caelumvirus caelum	MK524524.1	Streptomyces phage Caelum			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	660	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Caelumvirus		Caelumvirus issmi	MT310863.1	Streptomyces phage Issmi			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	661	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Caelumvirus		Caelumvirus daudau	MF766045.1	Streptomyces phage Daudau			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	662	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Caelumvirus		Caelumvirus alvy	MN234208.1	Streptomyces phage Alvy			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	663	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Caelumvirus		Caelumvirus thestral	MH651190.1	Streptomyces phage Thestral			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	664	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Arequatrovirus		Arequatrovirus paedore	MH001460.1	Streptomyces phage Paedore			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	665	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Camvirus		Camvirus endor1	MT711978.1	Streptomyces phage Endor1			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	666	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Camvirus		Camvirus endor2	MT711979.1	Streptomyces phage Endor2			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	667	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Camvirus		Camvirus joe	KX815338.1	Streptomyces phage Joe			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	668	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Camvirus		Camvirus saftant	MN204498.1	Streptomyces phage Saftant			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	669	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Camvirus		Camvirus sitrop	MT701598.1	Streptomyces phage Sitrop			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	670	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Camvirus		Camvirus alsaber	MG298964.1	Streptomyces phage Alsaber			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	671	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Likavirus		Likavirus yasdnil	MN096379.1	Streptomyces phage Yasdnil			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	672	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Likavirus		Likavirus werner	MW435856.1	Streptomyces phage Werner			CG	dsDNA	bacteria	Create new	species
load_next_msl.msl36v1.txt	673	2021.005B	2021.005B.A.v1.Arquatrovirinae.zip	2021.005B.A.v1.Arquatrovirinae.xlsx																	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes					Arquatrovirinae	Likavirus		Likavirus goby	MH171097.1	Streptomyces phage Goby			CG	dsDNA	bacteria	Create new	species
