accession	species	virus_name
JX421753	Teetrevirus T7M	Enterobacteria phage T7M
JX465403	Orthohantavirus yakeshiense	Yákèshí virus
JX465423	Orthohantavirus yakeshiense	Yákèshí virus
JX4782635	Avian orthoreovirus	Muscovy duck reovirus novel
JX483880	Cuernavacavirus RHEph09	Rhizobium phage RHEph09
JX886027	Salmonid herpesvirus 3	salmonid herpesvirus 3
K00610	California encephalitis orthobunyavirus	La Crosse virus
KC013024	Leuconostoc virus LN6B	Leuconostoc phage phiLN6B
KC013029	Leuconostoc virus LNTR3	Leuconostoc phage phiLNTR3
KC154054	Jeilongvirus anhuiense	Miniopterus schreibersii paramyxovirus
KC164505	Middle East respiratory syndrome-related coronavirus	MERS coronavirus EMC/2012
KC201166	Aquareovirus C	grass carp reovirus; aquareovirus C
KC201167	Aquareovirus C	grass carp reovirus; aquareovirus C
KC201168	Aquareovirus C	grass carp reovirus; aquareovirus C
KC201169	Aquareovirus C	grass carp reovirus; aquareovirus C
KC201170	Aquareovirus C	grass carp reovirus; aquareovirus C
KC201171	Aquareovirus C	grass carp reovirus; aquareovirus C
KC201172	Aquareovirus C	grass carp reovirus; aquareovirus C
KC201173	Aquareovirus C	grass carp reovirus; aquareovirus C
KC201174	Aquareovirus C	grass carp reovirus; aquareovirus C
KC201175	Aquareovirus C	grass carp reovirus; aquareovirus C
KC201176	Aquareovirus C	grass carp reovirus; aquareovirus C
KC292021	Halorubrum Tailed Virus 7	Halorubrum tailed phage 7
KC292054	Puma feline foamy virus	feline foamy virus Puma concolor
KC311669	Friunavirus AB3	Acinetobacter phage AB3
KC460986	Dyophipapillomavirus 1	Talpa europaea papillomavirus 1
KC7787720	Turnip rosette virus	turnip rosette virus
KC832325	Jerseyvirus L13	Salmonella phage L13
KC832887	Potato black ringspot virus	potato black ringspot virus
KC832892	Potato black ringspot virus	potato black ringspot virus
KF005317	Efbeekayvirus Fbkp27	Klebsiella phage vB_KpP_FBKp27
KF435145	Cardamom bushy dwarf virus	cardamom bushy dwarf virus
KF435146	Cardamom bushy dwarf virus	cardamom bushy dwarf virus
KF435147	Cardamom bushy dwarf virus	cardamom bushy dwarf virus
KF481954	Orthohantavirus necocliense	Necoclí virus
KF494345	Orthohantavirus necocliense	Necoclí virus
KF536973	Carrot closterorivus 1	carrot closterorivus 1
KF697157	Orthobunyavirus utingaense	Utive virus
KF697158	Orthobunyavirus utingaense	Utive virus
KF697159	Orthobunyavirus utingaense	Utive virus
KF735065	Orthohantavirus necocliense	Necoclí virus
KF736055	Necocli orthohantavirus	Necocli virus
KF736065	Necocli orthohantavirus	Necocli virus
KF741756	Neoavian orthoreovirus	Pycnonotidae reovirus
KF741757	Neoavian orthoreovirus	Pycnonotidae reovirus
KF741758	Neoavian orthoreovirus	Pycnonotidae reovirus
KF741759	Neoavian orthoreovirus	Pycnonotidae reovirus
KF741760	Neoavian orthoreovirus	Pycnonotidae reovirus
KF741761	Neoavian orthoreovirus	Pycnonotidae reovirus
KF741762	Neoavian orthoreovirus	Pycnonotidae reovirus
KF741763	Neoavian orthoreovirus	Pycnonotidae reovirus
KF741764	Neoavian orthoreovirus	Pycnonotidae reovirus
KF741765	Neoavian orthoreovirus	Pycnonotidae reovirus
KF800937	Kaohsiungvirus AS51	Vibrio phage AS51
KF823815	Cardiovirus B	genet fecal theilovirus
KF912951	Malvastrum leaf curl Guangdong betasatellite	Malvastrum leaf curl Guangdong betasatellite
KF961188	Melegrivirus A	turkey hepatitis virus
KF974359	Amga orthohantavirus	Amaga virus
KF974360	Amga orthohantavirus	Amaga virus
KJ434185	Nome phantom orthophasmavirus	Nome phantom virus
KJ434186	Nome phantom orthophasmavirus	Nome phantom virus
KJ434187	Nome phantom orthophasmavirus	Nome phantom virus
KJ572574	Peach rosette mosaic virus	peach rosette mosaic virus
KJ641657	Jeilongvirus murinae	bat paramyxovirus
KJ645983	Human torovirus	human torovirus
KJ668231	Columbid alphaherpesvirus 1	falcon inclusion body disease virus; falconid herpesvirus 1
KJ950619	Orthobornavirus alphapsittaciforme	parrot bornavirus 8
KJ950620	Orthobornavirus alphapsittaciforme	parrot bornavirus 8
KJ950621	Orthobornavirus alphapsittaciforme	parrot bornavirus 8
KJ950622	Orthobornavirus alphapsittaciforme	parrot bornavirus 8
KJ950623	Orthobornavirus alphapsittaciforme	parrot bornavirus 8
KJ950624	Orthobornavirus alphapsittaciforme	parrot bornavirus 8
KJ950625	Orthobornavirus alphapsittaciforme	parrot bornavirus 8
KM007009	Groundnut ringspot orthotospovirus	groundnut ringspot virus
KM007019	Groundnut ringspot orthotospovirus	groundnut ringspot virus
KM007029	Groundnut ringspot orthotospovirus	groundnut ringspot virus
KM254174	Chaphamaparvovirus galliform3	chicken chapparvovirus HK
KM262191	Leuconostoc virus Ln8	Leuconostoc phage Ln-8
KM262783	Torque teno seal virus 4	seal anellovirus 4
KM280930	Marituba orthobunyavirus	Gumbo Limbo virus
KM280932	Marituba orthobunyavirus	Restan virus
KM280935	Marituba orthobunyavirus	Restan virus
KM280938	Marituba orthobunyavirus	Gumbo Limbo virus
KM373208	Pecentumvirus WIL1	Listeria phage WIL-1
KM588359	Mycobacterium virus Pipsqueaks	Mycobacterium phage Pipsqueaks
KM817613	Lacewing mivirus	Shuāngào lacewing virus
KM817638	Shuangao anphevirus	Shuāngào fly virus 2
KM817680	Insect inshuvirus	Shuāngào insect virus 2
KM817686	Wenrivirus penaei	Wēnzhōu shrimp virus 1
