accession	species	virus_name
U23770	Mastadenovirus encephalomyelitidis	murine adenovirus 1
U25120	Porcine mastadenovirus B	porcine adenovirus 4
U26828	Orthohantavirus moroense	El Moro Canyon virus
U28832	Gallid alphaherpesvirus 1	gallid alphaherpesvirus 1
U31286	Lucerne transient streak virus	Lucerne transient streak virus
U41655	Ichnoviriform sonorense	Campoletis sonorensis ichnovirus
U46933	Aviadenovirus ventriculi	fowl adenovirus 1
U57336	Mastadenovirus encephalomyelitidis	murine adenovirus 1
U63458	Saguinine gammaherpesvirus 1	saguinine gammaherpesvirus 1; herpesvirus saguinus
U65736	Paramecium bursaria Chlorella virus SC1A	Paramecium bursaria Chlorella virus SC1A
U65737	Paramecium bursaria Chlorella virus SC1A	Paramecium bursaria Chlorella virus SC1A
U65738	Paramecium bursaria Chlorella virus SC1A	Paramecium bursaria Chlorella virus SC1A
U65739	Paramecium bursaria Chlorella virus SC1A	Paramecium bursaria Chlorella virus SC1A
U68299	Murid betaherpesvirus 1	murid betaherpesvirus 1
U80762	Gallid alphaherpesvirus 1	gallid alphaherpesvirus 1
U91940	Choristoneura rosaceana nucleopolyhedrovirus	Choristoneura rosaceana nucleopolyhedrovirus
U95843	Mastadenovirus encephalomyelitidis	murine adenovirus 1
X01457	Rodent protoparvovirus 1	rodent protoparvovirus 1; H-1 parvovirus
X06618	Paramecium bursaria Chlorella virus NC1A	Paramecium bursaria Chlorella virus NC1A
X07489	Escherichia virus FI	Escherichia phage FI
X53012	Mastadenovirus encephalomyelitidis	murine adenovirus 1
X53771	Rift Valley fever phlebovirus	Rift Valley fever virus
X55701	Maize rough dwarf virus	maize rough dwarf virus
X56093	Gallid alphaherpesvirus 1	gallid alphaherpesvirus 1
X56464	Rift Valley fever phlebovirus	Rift Valley fever virus
X60193	Hepatitis delta virus	hepatitis delta virus clade 2
X68295	Bixzunavirus I3	Mycobacterium phage I3
X73466	Guaroa orthobunyavirus	Guaroa virus
X73469	Main Drain orthobunyavirus	Main Drain virus
X73883	Wheat spindle streak mosaic virus	wheat spindle streak mosaic virus
X74742	Mastadenovirus encephalomyelitidis	murine adenovirus 1
X87254	Artichoke Italian latent virus	artichoke Italian latent virus
X97256	Gallid alphaherpesvirus 1	gallid alphaherpesvirus 1
Y07760	Mastadenovirus canidae	canine adenovirus 1
Y09598	Barthadenovirus galloanserae	duck adenovirus 1
Y14300	Gallid alphaherpesvirus 1	gallid alphaherpesvirus 1
Y14301	Gallid alphaherpesvirus 1	gallid alphaherpesvirus 1
Y15893	Heracleum latent virus	heracleum latent virus
Y19010	Bracoviriform nigricipitis	Cardiochiles nigriceps bracovirus
Z11128	Murine leukemia virus	murine leukemia virus
Z31378	Bracoviriform inaniti	Chelonus inanitus bracovirus
Z58828	Bracoviriform inaniti	Chelonus inanitus bracovirus
Z69991	Tula orthohantavirus	Tula virus
